Item ID,Inventory Balance,Items to Expire,$ Value of Transfer
161429,9799.199999999999,0.0,9720.0
161478,1127.8500000000004,0.0,902.28
161480,842.1279999999999,0.0,601.52
161481,110.75500000000002,130.3,130.3
161505,0.0,0.0,0.0
161556,1510.9504800000002,0.0,1485.1200000000001
161686,0.0,0.0,0.0
161687,0.0,0.0,0.0
161688,41.29120000000004,0.0,0.0
161705,0.0,0.0,0.0
161772,5406.880000000005,0.0,3379.3
161809,0.0,0.0,0.0
161820,0.0,0.0,0.0
161940,0.0,0.0,0.0
162491,0.0,0.0,0.0
162492,44.659000000000006,0.0,0.0
162565,0.0,0.0,0.0
163704,0.0,0.0,0.0
163705,0.0,0.0,0.0
163706,6240.0,0.0,6240.0
163713,2755.618,0.0,2705.6
163734,0.0,0.0,0.0
163865,728.12,0.0,654.0
164196,0.0,0.0,0.0
165412,1228.471,0.0,1138.0
165414,941.126,0.0,853.4999999999999
165416,1663.7559999999999,170.7,1593.2
165482,317.62080000000003,0.0,297.045
165538,993.8699999999999,0.0,850.5
166155,94.55839999999999,0.0,83.68
166233,0.0,0.0,0.0
166240,105.6000000000001,0.0,0.0
166242,2737.920000000001,0.0,2380.8
166365,2819.7599999999993,0.0,2653.0
166382,0.0,0.0,55.8348
166386,2336.73,0.0,1600.5
166514,0.0,0.0,0.0
166554,0.0,0.0,0.0
166585,0.0,0.0,0.0
166589,0.0,0.0,0.0
166591,0.0,0.0,0.0
166611,0.0,0.0,0.0
166623,8186.800799999999,0.0,8163.84
166657,0.0,0.0,0.0
166660,77.9416,0.0,0.0
166726,10366.560000000001,0.0,10016.0
166755,446.1071999999998,0.0,418.88
166756,378.66326399999997,0.0,338.0922
167063,0.0,0.0,0.0
167094,0.0,0.0,0.0
167307,0.0,0.0,0.0
167548,5602.699199999999,0.0,5240.62
167624,3936.618,3461.85,3461.8500000000004
167632,0.0,0.0,0.0
167705,0.0,0.0,54.27
167819,35962.932600000015,0.0,31580.010000000006
167821,0.0,0.0,0.0
167823,0.0,0.0,0.0
167824,7781.4864,0.0,7616.16
167928,0.0,0.0,0.0
168197,0.0,0.0,0.0
168672,0.0,0.0,0.0
169012,0.0,0.0,0.0
169058,6451.087499999999,28872.0,28872.0
169059,0.0,0.0,0.0
169060,483.0840000000001,0.0,408.24
169137,0.0,0.0,0.0
169236,737.1471932,0.0,737.3338600000001
169250,7975.0,0.0,7700.0
169298,0.0,0.0,0.0
169443,0.0,0.0,0.0
169507,0.0,0.0,0.0
169548,0.0,0.0,0.0
